dataset,max
iris,1.90395172
wine,1.563198984
roll,1.887863093
penguins,3.388781041
auto,1.86390968
curve,1.575546663
bank,5.470961265
cnae9,4.140241898
coil20,11.72269555
epilepsy,1.848653079
spambase,1.000038191
har,9.52120902
sentiment,2.238397214
