,init,min,shepard,kruskal,trustworthiness,continuity,mrre_false,mrre_missing,neighborhood_hit,steadiness,cohesiveness,kl_divergence,pearson
tsne,4.0,2.0,1.0,2.0,1.0,2.0,4.0,3.0,3.0,4.0,2.0,2.0,2.0
umap,3.0,4.0,2.0,3.0,2.0,1.0,3.0,4.0,1.0,3.0,1.0,3.0,1.0
mds,1.0,1.0,3.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,4.0,1.0,3.0
random,2.0,3.0,4.0,4.0,4.0,4.0,1.0,1.0,3.0,1.0,3.0,4.0,4.0
