Run,mds_init,umap_init,tsne_init,random_init,mds_min,umap_min,tsne_min,random_min,mds_scalar,umap_scalar,tsne_scalar,random_scalar,mds_shepard,umap_shepard,tsne_shepard,random_shepard
1.0,0.21326932401397333,11.74086914509887,45.30012088636558,0.5374616007803983,0.21326932399771809,0.44296147951877984,0.3459986913662094,0.5363194591008711,1.0000026951622192,0.0709903430085423,0.0202918505666249,1.0432884523632129,0.8610752171798834,0.41184041683294875,0.6074709032456725,-0.012333478692342014
2.0,0.21302461675503104,12.12426841067816,45.53240642684744,0.5346322499629457,0.2130246167547621,0.45780112372594667,0.3450399281843079,0.5331654290966349,1.000000346509304,0.06836422279176098,0.02019785513118748,1.0490753842722471,0.8613724502103896,0.3235175898726376,0.6100077576661722,0.00505293215751075
3.0,0.21330237727244417,14.114647534209302,44.641912701271366,0.5344502049307758,0.21330237725053083,0.48179686839314395,0.3450151350519947,0.5335639263216372,1.0000031295373248,0.05848629641120882,0.02059267393632534,1.037750217552737,0.860895864289504,0.37589301369947165,0.6099277550274396,0.005365937784751318
4.0,0.23552372568738966,12.54008579973816,44.39789374450111,0.534376206636635,0.23552372568629903,0.4887225041225441,0.3487335789852014,0.5318161392300566,1.0000007374963635,0.06509284624557751,0.020673824310864834,1.0657486325493117,0.8255490085534328,0.27544081915826496,0.6034819455903512,0.01084571604788896
5.0,0.21325498959074324,13.764348914599543,43.47463066316231,0.5345476551319635,0.21325498957584063,0.5185737828621972,0.3425426231230626,0.5341602836146224,1.000002580505855,0.05852537496743077,0.021153870934204264,1.0246615387642546,0.8610050667883078,0.29073034723797564,0.6166608127729312,-0.0011823660809323808
6.0,0.23521772625837292,13.61002811597722,45.864689598990466,0.533974082414431,0.23521772625782356,0.456663705093114,0.3451710488454902,0.5329215562635374,1.0000005230434303,0.06138829365556492,0.02005344191279333,1.0412355238346271,0.8262084306321317,0.2943818743447718,0.6129191148081952,0.008366788806203227
7.0,0.21361805026824904,13.49958268367987,45.317941860157916,0.5382332926577758,0.21361805018093885,0.5360544251214877,0.3459440197269474,0.5374312530154904,1.0000062518888682,0.05889739938701814,0.020284459154765472,1.036086637853113,0.8603351365882281,0.26843247137971366,0.6143043544565313,-0.013144967339047272
8.0,0.21304592366210812,14.452152659210446,44.58119127875034,0.5355850080688094,0.21304592366173788,0.5061321945465908,0.3472354406320407,0.5348617203231166,1.0000004064995986,0.05634851594564503,0.020602528149601188,1.0340529866302492,0.8613266307289732,0.2730345024204496,0.6096813080206063,-0.0011132001572565621
9.0,0.21318405115110514,13.823608661571935,44.475835551239406,0.5380457682778739,0.21318405114389788,0.560021742970553,0.345247342578876,0.5368967923685308,1.0000017942327168,0.05658716816743287,0.02066614367501829,1.043467615742459,0.8610870482291446,0.24483202455676806,0.6094043112044286,-0.007148808873841589
10.0,0.2133564663169585,12.51587727037049,44.708108410629485,0.536608496259027,0.2133564662726717,0.44351253764228094,0.3471133295094256,0.5359243652466912,1.0000044496301652,0.06686430348727276,0.020546209569928368,1.0331480672783147,0.8607335231277442,0.39777548530669027,0.6090636708104361,-0.006063923948367588
Average,0.21767972509763753,13.2185469195134,44.82947311219154,0.5357914565120635,0.21767972507822209,0.48922403639966383,0.34580411380035564,0.5347060924581187,1.0000022914505844,0.062154476406745415,0.020506285734131345,1.0408515056840528,0.8539588376327739,0.3155878544809692,0.6102921933602764,-0.001135537029543315
