,init,min,shepard,kruskal,trustworthiness,continuity,mrre_false,mrre_missing,neighborhood_hit,steadiness,cohesiveness,kl_divergence,pearson
tsne,4.0,3.0,2.0,3.0,1.0,2.0,4.0,3.0,2.5,4.0,3.0,2.0,2.0
umap,2.0,2.0,3.0,2.0,2.0,1.0,3.0,4.0,2.5,3.0,4.0,3.0,3.0
mds,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,2.5,2.0,2.0,1.0,1.0
random,3.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,2.5,1.0,1.0,4.0,4.0
